# From the camb file : CAMB/camb/PRIMAT_Yp_DH_ErrorMC_2021.dat
# adapted to class : we keep only three columns:  ombh2       DeltaN          Yp  
# below is the full comment from the camb file. 
#
# BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ and 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neurino decoupling (arXiv:2008.01074).
#
# Computation performed with PRIMAT (by Cyril Pitrou 2018-2021 http://www2.iap.fr/users/pitrou/primat.htm)
# Details on arXiv:1801.08023 and update arXiv:2011.11320
# Last update 16/02/2021 (notably including the LUNA rate for the d(p,g)He3 reaction)
#
# Neutron Decay rate $\tau_n$ is 879.4s (+-0.6s), following Particle Data Group 2020
# CMB temperature is 2.7255 K (without taking into account a possible uncertainty)
#
# He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
# He4 is also provided as $Y_P = Y_{He4} * m_ {He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$ 
# where $m_{He4}=4.0026032541$ and $m_{H1}=1.00782503223$ are atomic masses. 
#
# Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
# 
# eta10 is $10^10 eta_0$ where $eta_0$ is the density ratio between baryons and photons AT THE END OF BBN.
# Hence eta10 ignores the extra production of He4 by stars after BBN. Whenever possible, working with $\Omega_b h^2$ is better. 
#
# Errors are computed with a Monte-Carlo method on nuclear rates and also on tau_n. 
# See PRIMAT paper (2018) for details. 
# 
#  ombh2       DeltaN          Yp        

52 25
2.120000000000000009e-02 -2.500000000000000000e+00 2.036209999999999964e-01
2.139999999999999888e-02 -2.500000000000000000e+00 2.037110000000000032e-01
2.160000000000000114e-02 -2.500000000000000000e+00 2.038000000000000089e-01
2.179999999999999993e-02 -2.500000000000000000e+00 2.038880000000000137e-01
2.199999999999999872e-02 -2.500000000000000000e+00 2.039749999999999897e-01
2.220000000000000098e-02 -2.500000000000000000e+00 2.040609999999999924e-01
2.239999999999999977e-02 -2.500000000000000000e+00 2.041459999999999941e-01
2.259999999999999856e-02 -2.500000000000000000e+00 2.042309999999999959e-01
2.280000000000000082e-02 -2.500000000000000000e+00 2.043139999999999956e-01
2.299999999999999961e-02 -2.500000000000000000e+00 2.043969999999999954e-01
2.319999999999999840e-02 -2.500000000000000000e+00 2.044789999999999941e-01
2.340000000000000066e-02 -2.500000000000000000e+00 2.045599999999999918e-01
2.359999999999999945e-02 -2.500000000000000000e+00 2.046409999999999896e-01
2.380000000000000171e-02 -2.500000000000000000e+00 2.047200000000000131e-01
2.400000000000000050e-02 -2.500000000000000000e+00 2.047990000000000088e-01
2.500000000000000139e-02 -2.500000000000000000e+00 2.051830000000000043e-01
2.599999999999999881e-02 -2.500000000000000000e+00 2.055510000000000115e-01
2.699999999999999969e-02 -2.500000000000000000e+00 2.059030000000000027e-01
2.800000000000000058e-02 -2.500000000000000000e+00 2.062420000000000087e-01
2.900000000000000147e-02 -2.500000000000000000e+00 2.065670000000000006e-01
2.999999999999999889e-02 -2.500000000000000000e+00 2.068800000000000083e-01
3.099999999999999978e-02 -2.500000000000000000e+00 2.071830000000000060e-01
3.200000000000000067e-02 -2.500000000000000000e+00 2.074739999999999918e-01
3.300000000000000155e-02 -2.500000000000000000e+00 2.077569999999999972e-01
3.400000000000000244e-02 -2.500000000000000000e+00 2.080299999999999927e-01
3.500000000000000333e-02 -2.500000000000000000e+00 2.082950000000000079e-01
3.599999999999999728e-02 -2.500000000000000000e+00 2.085509999999999864e-01
3.699999999999999817e-02 -2.500000000000000000e+00 2.088009999999999866e-01
