#CIB 
#column 0 = ell, column 1 = D_ell^{ISW x y}
#D_ell = ell*(ell+1)/2pi * C_ell
2.004969305668063	4.127187557842043e-14
2.46093817111064	4.4380916007354325e-14
3.23995248879329	4.772416271485627e-14
4.311818003624759	5.13192586303687e-14
5.800508160955091	5.386521668277285e-14
7.761215500850264	5.386521668277285e-14
10.163089756656083	5.257682936545415e-14
14.429476840963725	4.772416271485627e-14
19.727950393776204	4.028470492671119e-14
26.826957952797258	3.239768799903777e-14
36.08918289407972	2.4229574885684815e-14
47.770183403157276	1.812080847122315e-14
63.57387571164832	1.3228034749073737e-14
84.15085792627254	8.979890232993264e-15
110.1931420549562	5.8078941356370634e-15
145.85940117250354	3.666505463242662e-15
193.06977288832496	2.2052505746791592e-15
258.33186895125056	1.263675350148983e-15
334.6494872657768	7.418687931797791e-16
433.5132160886472	4.2511328088983744e-16
555.5596289205461	2.4360278158395036e-16
693.0258186222719	1.4651694357666263e-16
836.9829817432245	9.476228275528936e-17
1000.000000000000	6.128909062517208e-17
