34  3.5238  11.241  47.935  198.29  561.54  1107.4  35.873  153.1  634.28  1800.6  3566.1  654.29  2718.5  7751.9  15473  11360  32685  66264  95351  198040  428910  
35  3.5684  11.382  48.529  200.67  567.91  1118.4  36.321  154.98  641.83  1820.8  3601.2  662.2  2750.3  7837.2  15621  11488  33029  66864  96281  199660  431670  
36  3.611  11.517  49.095  202.93  573.95  1128.9  36.747  156.77  649  1840  3634.4  669.73  2780.5  7918  15761  11610  33355  67430  97159  201180  434240  
37  3.6516  11.645  49.633  205.08  579.68  1138.7  37.153  158.47  655.81  1858.2  3665.6  676.89  2809.1  7994.6  15893  11725  33663  67961  97987  202600  436620  
38  3.6902  11.767  50.145  207.12  585.1  1148  37.539  160.09  662.28  1875.4  3695  683.69  2836.3  8066.9  16017  11833  33954  68459  98764  203930  438830  
39  3.7269  11.883  50.63  209.06  590.22  1156.7  37.905  161.63  668.39  1891.6  3722.5  690.13  2862  8135  16133  11936  34227  68925  99493  205170  440860  
40  3.7616  11.993  51.09  210.89  595.04  1164.8  38.253  163.08  674.18  1906.8  3748.3  696.22  2886.3  8199.2  16241  12033  34484  69358  100170  206310  442720  
41  3.7946  12.097  51.525  212.61  599.58  1172.4  38.581  164.45  679.63  1921.2  3772.3  701.97  2909.1  8259.4  16342  12124  34724  69760  100810  207370  444400  
42  3.8257  12.195  51.936  214.24  603.84  1179.4  38.891  165.75  684.77  1934.7  3794.7  707.39  2930.6  8315.8  16435  12209  34948  70131  101400  208330  445920  
43  3.8552  12.288  52.323  215.77  607.83  1186  39.184  166.97  689.59  1947.2  3815.3  712.5  2950.8  8368.5  16522  12289  35157  70473  101950  209220  447270  
44  3.8829  12.376  52.687  217.2  611.55  1192  39.459  168.12  694.11  1959  3834.4  717.28  2969.7  8417.6  16601  12364  35351  70785  102450  210010  448450  
45  3.9089  12.458  53.029  218.54  615.01  1197.6  39.718  169.2  698.34  1969.9  3851.9  721.77  2987.3  8463.1  16674  12433  35530  71069  102910  210730  449480  
46  3.9334  12.535  53.349  219.79  618.22  1202.7  39.96  170.21  702.29  1980  3867.9  725.96  3003.7  8505.2  16740  12497  35695  71326  103330  211370  450350  
47  3.9563  12.607  53.648  220.96  621.2  1207.3  40.187  171.15  705.95  1989.4  3882.3  729.86  3018.9  8544  16800  12557  35846  71556  103710  211930  451070  
48  3.9777  12.674  53.927  222.04  623.93  1211.5  40.398  172.02  709.35  1998  3895.4  733.49  3033  8579.6  16854  12611  35983  71760  104050  212420  451630  
49  3.9976  12.736  54.185  223.04  626.44  1215.2  40.594  172.83  712.49  2005.8  3907.1  736.84  3046  8612  16901  12661  36108  71938  104360  212830  452050  
50  4.0161  12.794  54.424  223.96  628.73  1218.5  40.776  173.58  715.37  2013  3917.4  739.93  3057.8  8641.4  16943  12707  36220  72092  104630  213170  452320  
51  4.0333  12.848  54.645  224.8  630.8  1221.4  40.944  174.27  718.01  2019.5  3926.4  742.77  3068.7  8667.9  16979  12748  36319  72222  104860  213440  452450  
52  4.0491  12.897  54.848  225.58  632.67  1223.9  41.099  174.91  720.42  2025.3  3934.1  745.37  3078.5  8691.5  17010  12785  36407  72329  105060  213640  452440  
53  4.0636  12.943  55.033  226.27  634.33  1226  41.24  175.48  722.6  2030.4  3940.6  747.73  3087.4  8712.4  17036  12818  36483  72414  105230  213780  452290  
54  4.0769  12.984  55.201  226.9  635.8  1227.8  41.368  176.01  724.55  2035  3945.9  749.86  3095.3  8730.6  17056  12847  36549  72477  105370  213860  452010  
55  4.0889  13.021  55.353  227.46  637.08  1229.2  41.484  176.48  726.28  2038.9  3950  751.76  3102.3  8746.3  17071  12872  36603  72518  105470  213870  451610  
56  4.0997  13.055  55.488  227.96  638.17  1230.2  41.588  176.9  727.8  2042.3  3953  753.44  3108.3  8759.3  17081  12894  36647  72539  105550  213820  451080  
