-1.3816e+01			-2.9822e+00			2.3179e-06
-1.3566e+01			-2.9822e+00			1.9198e-06
-1.3316e+01			-2.9822e+00			1.5218e-06
-1.3066e+01			-2.9822e+00			1.1238e-06
-1.2817e+01			-2.9822e+00			7.2572e-07
-1.2567e+01			-2.9822e+00			3.2768e-07
-1.2317e+01			-2.9822e+00			-7.0356e-08
-1.2067e+01			-2.9822e+00			-4.6839e-07
-1.1818e+01			-2.9822e+00			-8.6643e-07
-1.1568e+01			-2.9822e+00			-1.2645e-06
-1.1318e+01			-2.9822e+00			-1.6625e-06
-1.1069e+01			-2.9822e+00			-2.0605e-06
-1.0819e+01			-2.9822e+00			-1.6164e-06
-1.0569e+01			-2.9822e+00			3.7175e-07
-1.0319e+01			-2.9822e+00			2.3599e-06
-1.0070e+01			-2.9822e+00			4.3480e-06
-9.8200e+00			-2.9822e+00			6.3362e-06
-9.5702e+00			-2.9822e+00			8.3243e-06
-9.3205e+00			-2.9822e+00			5.2406e-06
-9.0708e+00			-2.9822e+00			-2.3513e-06
-8.8211e+00			-2.9822e+00			-9.9432e-06
-8.5713e+00			-2.9822e+00			-1.7535e-05
-8.3216e+00			-2.9822e+00			-2.5127e-05
-8.0719e+00			-2.9822e+00			-3.2719e-05
-7.8222e+00			-2.9822e+00			-1.5403e-05
-7.5725e+00			-2.9822e+00			1.2291e-05
-7.3227e+00			-2.9822e+00			3.9984e-05
-7.0730e+00			-2.9822e+00			6.7678e-05
-6.8233e+00			-2.9822e+00			9.5372e-05
-6.5736e+00			-2.9822e+00			1.2307e-04
-6.3238e+00			-2.9822e+00			2.4191e-05
-6.0741e+00			-2.9822e+00			-9.1561e-05
-5.8244e+00			-2.9822e+00			-2.0731e-04
-5.5747e+00			-2.9822e+00			-3.2306e-04
-5.3250e+00			-2.9822e+00			-4.3881e-04
-5.0752e+00			-2.9822e+00			-5.3567e-04
-4.8255e+00			-2.9823e+00			-3.3026e-04
-4.5758e+00			-2.9824e+00			-1.2484e-04
-4.3261e+00			-2.9825e+00			8.0579e-05
-4.0763e+00			-2.9826e+00			2.8600e-04
-3.8266e+00			-2.9827e+00			4.9141e-04
-3.5769e+00			-2.9828e+00			-4.7350e-04
-3.3272e+00			-2.9829e+00			-5.2420e-03
-3.0775e+00			-2.9833e+00			-1.0010e-02
-2.8277e+00			-2.9844e+00			-1.4779e-02
-2.5780e+00			-2.9864e+00			-1.9547e-02
-2.3283e+00			-2.9896e+00			-2.4316e-02
-2.0786e+00			-2.9943e+00			-3.8963e-02
-1.8288e+00			-3.0015e+00			-6.7722e-02
-1.5791e+00			-3.0129e+00			-9.6482e-02
-1.3294e+00			-3.0304e+00			-1.2524e-01
-1.0797e+00			-3.0557e+00			-1.5400e-01
-8.2996e-01			-3.0905e+00			-1.8276e-01
-5.8024e-01			-3.1370e+00			-2.6749e-01
-3.3051e-01			-3.2002e+00			-3.9139e-01
-8.0792e-02			-3.2878e+00			-5.1529e-01
1.6893e-01			-3.4076e+00			-6.3919e-01
4.1865e-01			-3.5672e+00			-7.6309e-01
6.6837e-01			-3.7744e+00			-8.8699e-01
9.1810e-01			-4.0364e+00			-9.2067e-01
1.1678e+00			-4.3558e+00			-9.2659e-01
1.4175e+00			-4.7329e+00			-9.3251e-01
1.6673e+00			-5.1682e+00			-9.3843e-01
1.9170e+00			-5.6620e+00			-9.4436e-01
2.1667e+00			-6.2148e+00			-9.5028e-01
2.4164e+00			-6.8250e+00			-7.6989e-01
2.6662e+00			-7.4833e+00			-5.7786e-01
2.9159e+00			-8.1776e+00			-3.8583e-01
3.1656e+00			-8.8960e+00			-1.9380e-01
3.4153e+00			-9.6264e+00			-1.7751e-03
3.6650e+00			-1.0357e+01			1.6555e-01
3.9148e+00			-1.1079e+01			1.4761e-01
4.1645e+00			-1.1791e+01			1.2968e-01
4.4142e+00			-1.2496e+01			1.1174e-01
4.6639e+00			-1.3193e+01			9.3798e-02
4.9137e+00			-1.3885e+01			7.5860e-02
5.1634e+00			-1.4572e+01			6.0877e-02
5.4131e+00			-1.5255e+01			5.2986e-02
5.6628e+00			-1.5935e+01			4.5096e-02
5.9125e+00			-1.6612e+01			3.7205e-02
6.1623e+00			-1.7286e+01			2.9315e-02
6.4120e+00			-1.7959e+01			2.1425e-02
6.6617e+00			-1.8630e+01			1.6020e-02
6.9114e+00			-1.9301e+01			1.3413e-02
7.1611e+00			-1.9971e+01			1.0806e-02
7.4109e+00			-2.0639e+01			8.1992e-03
7.6606e+00			-2.1308e+01			5.5921e-03
7.9103e+00			-2.1976e+01			2.9850e-03
8.1600e+00			-2.2644e+01			2.1040e-03
8.4098e+00			-2.3312e+01			2.1645e-03
8.6595e+00			-2.3979e+01			2.2250e-03
8.9092e+00			-2.4647e+01			2.2855e-03
9.1589e+00			-2.5314e+01			2.3460e-03
9.4086e+00			-2.5981e+01			2.4065e-03
9.6584e+00			-2.6648e+01			2.4670e-03
9.9081e+00			-2.7315e+01			2.5275e-03
1.0158e+01			-2.7982e+01			2.5880e-03
1.0408e+01			-2.8649e+01			2.6485e-03
1.0657e+01			-2.9315e+01			2.7090e-03
1.0907e+01			-2.9981e+01			2.7695e-03
