# [0]-l  [1]-gg_1h  [2]-gg_2h  [3]-gy_1h  [4]-gy_2h
7.800000000000000000e+01 1.108620684503132412e-06 2.982739542002553040e-05 5.417500828141777733e-13 4.597540591222112174e-12
8.300000000000000000e+01 1.108291431188783510e-06 2.741274964331570264e-05 5.357544147134993085e-13 4.194322380983576157e-12
8.900000000000000000e+01 1.107915068110204744e-06 2.458014014544535698e-05 5.290682064907445568e-13 3.757337959069592595e-12
9.400000000000000000e+01 1.107609700394719921e-06 2.234274751961940944e-05 5.238526691609967438e-13 3.428150809872067139e-12
1.010000000000000000e+02 1.107193697930771968e-06 1.960694867583625352e-05 5.170061033414244639e-13 3.023676309788082089e-12
1.070000000000000000e+02 1.106844541476282853e-06 1.771259940572409024e-05 5.114955010913170111e-13 2.729635354008002493e-12
1.140000000000000000e+02 1.106442468722902180e-06 1.594444748906027738e-05 5.054247550077207289e-13 2.440469795050249246e-12
1.220000000000000000e+02 1.105982129768873778e-06 1.427537246091535737e-05 4.988926902545210769e-13 2.164437842923939173e-12
1.300000000000000000e+02 1.105526469366723791e-06 1.279765186440197661e-05 4.927299642614521755e-13 1.929880735881305157e-12
1.380000000000000000e+02 1.105068077034174332e-06 1.146989731914457093e-05 4.868878278116531562e-13 1.726870504616737516e-12
1.470000000000000000e+02 1.104546390783602999e-06 1.018485688426312779e-05 4.806442842837029783e-13 1.530521421916016464e-12
1.560000000000000000e+02 1.104015959922264628e-06 9.118292943721241706e-06 4.747024177369534281e-13 1.363766723121879030e-12
1.670000000000000000e+02 1.103352895175186540e-06 8.037188064871960072e-06 4.677924382259343543e-13 1.192974459823508763e-12
1.770000000000000000e+02 1.102733757625071562e-06 7.199526358142705952e-06 4.618025018104523276e-13 1.062474826320406010e-12
1.890000000000000000e+02 1.101967773606496007e-06 6.339070279763412456e-06 4.549321849886447351e-13 9.301617827914760779e-13
2.010000000000000000e+02 1.101174524322750528e-06 5.618139370622867297e-06 4.483629179353829388e-13 8.192585358536863665e-13
2.140000000000000000e+02 1.100282357411251996e-06 4.964379709359443769e-06 4.415410380377453986e-13 7.185960973379325145e-13
2.280000000000000000e+02 1.099281496346172421e-06 4.373504745796677144e-06 4.344933687419114372e-13 6.282051424995179179e-13
2.430000000000000000e+02 1.098161494031956648e-06 3.843766675469608483e-06 4.272436324288422137e-13 5.476865532691683227e-13
2.590000000000000000e+02 1.096910197563189950e-06 3.373490123220794633e-06 4.198091856499231072e-13 4.764971892849922807e-13
2.760000000000000000e+02 1.095515607175045610e-06 2.957954843561555824e-06 4.122084369928899423e-13 4.139436052813574803e-13
2.940000000000000000e+02 1.093964763598342171e-06 2.592172824385871395e-06 4.044568532966678219e-13 3.592301912660282545e-13
3.130000000000000000e+02 1.092244139499509753e-06 2.271436303119063238e-06 3.965683836001950278e-13 3.115542642107012490e-13
3.330000000000000000e+02 1.090340701643992277e-06 1.990866718690990465e-06 3.885560368861354511e-13 2.701354652584784675e-13
